lat,lon,sst_c,chl_mg_m3,depth_m,salinity_psu,wind_speed_kmh,wind_direction_deg,wave_height_m,current_velocity_kmh,current_direction_deg,img_0,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,img_11,img_12,img_13,img_14,img_15,temporal_0,temporal_1,temporal_2,temporal_3,temporal_4,temporal_5,temporal_6,temporal_7,hsi,si_sst,si_chl,si_depth,suitability_pred,risk_score
5.5,97.5,30.106,0.17147541,-146.42,32.6825,2.2,294.0,0.64,1.3,82.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9984966369808755,1.0,0.9954899109426266,1.0,0.9986906521208819,0.12133333333333335
5.5,98.0,30.457,0.4117306,-98.07,32.857749999999996,3.3,264.0,0.68,0.4,63.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,1.0,1.0,1.0,1.0,0.999784187106875,0.13533333333333333
5.5,98.5,30.92,0.2872088,-88.19,32.77525,8.7,174.0,0.72,0.4,27.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9953290358408258,0.9859871075224772,1.0,1.0,0.9957657531630318,0.178
5.5,99.0,30.555,0.28638142,-81.57,32.73875,9.3,167.0,0.72,1.5,353.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9999193430932127,0.9997580292796381,1.0,1.0,0.9996467932012701,0.182
5.5,99.5,30.328,0.25131467,-63.0,31.94825,9.8,185.0,0.72,1.5,353.0,-0.04781715199351311,-0.018934939056634903,-0.046778298914432526,-0.012134845368564129,-0.04707324504852295,0.005896607879549265,0.029265398159623146,0.04503370076417923,0.0013387793442234397,-0.027069920673966408,-0.013341367244720459,-0.03715593367815018,-0.004191911313682795,0.016821200028061867,0.10164721310138702,0.04142451286315918,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,1.0,1.0,1.0,1.0,0.9998191596967473,0.18533333333333335
5.5,100.0,30.569,0.30146876,-37.91,31.38475,12.5,83.0,0.68,1.8,349.0,-0.04781715199351311,-0.018934939056634903,-0.046778298914432526,-0.012134845368564129,-0.04707324504852295,0.005896607879549265,0.029265398159623146,0.04503370076417923,0.0013387793442234397,-0.027069920673966408,-0.013341367244720459,-0.03715593367815018,-0.004191911313682795,0.016821200028061867,0.10164721310138702,0.04142451286315918,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9998730641751931,0.9996191925255791,1.0,1.0,0.9996518884285316,0.19666666666666666
5.5,103.5,29.328,0.25899595,-48.42,32.68325,5.5,234.0,0.32,0.4,63.0,-0.04774337261915207,-0.07830377668142319,-0.057565607130527496,-0.07932938635349274,-0.07519041001796722,-0.03727773576974869,-0.04146481305360794,-0.012135393917560577,-0.03562931343913078,-0.017454683780670166,-0.07323628664016724,-0.0012322351103648543,-0.05214046686887741,-0.012941723689436913,-0.02562369965016842,-0.0702393427491188,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,1.0,1.0,1.0,1.0,0.99980735382219,0.09
5.5,104.0,30.399,0.26882252,-63.36,32.978875,7.7,237.0,0.46,0.4,0.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,1.0,1.0,1.0,1.0,0.999822001183016,0.128
5.5,104.5,30.022,0.2124867,-70.91,33.1385,17.7,218.0,0.58,0.7,14.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,1.0,1.0,1.0,1.0,0.9998694808365144,0.21466666666666667
5.5,105.0,29.857,0.18263216,-66.35,33.247749999999996,14.6,213.0,0.64,1.1,171.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,0.9994418717343402,1.0,0.9983256152030203,1.0,0.999457404737422,0.20400000000000001
5.5,105.5,30.544,0.09858648,-65.62,33.3395,13.2,219.0,0.62,1.4,180.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,0.9814365267526162,0.9998451319932881,0.9444644482645606,1.0,0.9835290493039582,0.19133333333333336
6.0,97.0,29.877,0.18037282,-1146.66,32.82725,4.9,114.0,0.84,0.5,90.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.6659540483988963,1.0,0.9978621429521847,2.2445040898216517e-09,0.7176916238322377,0.17266666666666666
6.0,97.5,29.854,0.16064475,-542.37,32.88825,6.0,155.0,0.82,0.4,63.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.6884493972063542,1.0,0.9914322711936788,0.0739159204253839,0.6883565170040836,0.17666666666666667
6.0,98.0,29.637,0.34147575,-100.69,32.51575,8.7,172.0,0.82,0.6,56.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,1.0,1.0,1.0,1.0,0.9998020877968979,0.19466666666666665
6.0,98.5,30.376,0.30979112,-91.06,32.71225,19.3,125.0,0.82,0.8,27.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,1.0,1.0,1.0,1.0,0.9998803314652452,0.2653333333333333
6.0,99.0,31.13,0.21081437,-83.96,32.640499999999996,14.0,192.0,0.8,1.0,338.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9895822671658433,0.96874680149753,1.0,1.0,0.994538918006243,0.22666666666666668
6.0,99.5,30.744,0.28249577,-57.13,31.98725,10.8,101.0,0.8,1.4,337.0,-0.04781715199351311,-0.018934939056634903,-0.046778298914432526,-0.012134845368564129,-0.04707324504852295,0.005896607879549265,0.029265398159623146,0.04503370076417923,0.0013387793442234397,-0.027069920673966408,-0.013341367244720459,-0.03715593367815018,-0.004191911313682795,0.016821200028061867,0.10164721310138702,0.04142451286315918,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9984161481755643,0.9952484445266929,1.0,1.0,0.9988313712745934,0.20533333333333334
6.0,100.0,30.308,1.4003252,-15.58,31.356749999999998,13.7,73.0,0.66,1.0,329.0,-0.04781715199351311,-0.018934939056634903,-0.046778298914432526,-0.012134845368564129,-0.04707324504852295,0.005896607879549265,0.029265398159623146,0.04503370076417923,0.0013387793442234397,-0.027069920673966408,-0.013341367244720459,-0.03715593367815018,-0.004191911313682795,0.016821200028061867,0.10164721310138702,0.04142451286315918,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.6703576407512802,1.0,0.011072922253840656,1.0,0.6716468651162874,0.2013333333333333
