time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2026-07-15T09:00:00Z,12.0,106.0,NaN
2026-07-15T09:00:00Z,12.5,97.0,30.046
2026-07-15T09:00:00Z,12.5,97.5,30.092
2026-07-15T09:00:00Z,12.5,98.0,29.476
2026-07-15T09:00:00Z,12.5,98.5,29.308
2026-07-15T09:00:00Z,12.5,99.0,NaN
2026-07-15T09:00:00Z,12.5,99.5,NaN
2026-07-15T09:00:00Z,12.5,100.0,30.106
2026-07-15T09:00:00Z,12.5,100.5,30.162
2026-07-15T09:00:00Z,12.5,101.0,30.219
2026-07-15T09:00:00Z,12.5,101.5,30.281
2026-07-15T09:00:00Z,12.5,102.0,30.171
2026-07-15T09:00:00Z,12.5,102.5,NaN
2026-07-15T09:00:00Z,12.5,103.0,NaN
2026-07-15T09:00:00Z,12.5,103.5,NaN
2026-07-15T09:00:00Z,12.5,104.0,NaN
2026-07-15T09:00:00Z,12.5,104.5,NaN
2026-07-15T09:00:00Z,12.5,105.0,NaN
2026-07-15T09:00:00Z,12.5,105.5,NaN
2026-07-15T09:00:00Z,12.5,106.0,28.941
2026-07-15T09:00:00Z,13.0,97.0,29.615000000000002
2026-07-15T09:00:00Z,13.0,97.5,29.494
2026-07-15T09:00:00Z,13.0,98.0,29.375
2026-07-15T09:00:00Z,13.0,98.5,29.417
2026-07-15T09:00:00Z,13.0,99.0,NaN
2026-07-15T09:00:00Z,13.0,99.5,NaN
2026-07-15T09:00:00Z,13.0,100.0,NaN
2026-07-15T09:00:00Z,13.0,100.5,30.262
2026-07-15T09:00:00Z,13.0,101.0,NaN
2026-07-15T09:00:00Z,13.0,101.5,NaN
2026-07-15T09:00:00Z,13.0,102.0,NaN
2026-07-15T09:00:00Z,13.0,102.5,NaN
2026-07-15T09:00:00Z,13.0,103.0,NaN
2026-07-15T09:00:00Z,13.0,103.5,NaN
2026-07-15T09:00:00Z,13.0,104.0,29.434
2026-07-15T09:00:00Z,13.0,104.5,NaN
2026-07-15T09:00:00Z,13.0,105.0,NaN
2026-07-15T09:00:00Z,13.0,105.5,NaN
2026-07-15T09:00:00Z,13.0,106.0,29.027
2026-07-15T09:00:00Z,13.5,97.0,29.505
2026-07-15T09:00:00Z,13.5,97.5,29.338
2026-07-15T09:00:00Z,13.5,98.0,29.051000000000002
2026-07-15T09:00:00Z,13.5,98.5,NaN
2026-07-15T09:00:00Z,13.5,99.0,NaN
2026-07-15T09:00:00Z,13.5,99.5,NaN
2026-07-15T09:00:00Z,13.5,100.0,NaN
2026-07-15T09:00:00Z,13.5,100.5,NaN
2026-07-15T09:00:00Z,13.5,101.0,NaN
2026-07-15T09:00:00Z,13.5,101.5,NaN
2026-07-15T09:00:00Z,13.5,102.0,NaN
2026-07-15T09:00:00Z,13.5,102.5,NaN
2026-07-15T09:00:00Z,13.5,103.0,NaN
2026-07-15T09:00:00Z,13.5,103.5,NaN
2026-07-15T09:00:00Z,13.5,104.0,NaN
2026-07-15T09:00:00Z,13.5,104.5,NaN
2026-07-15T09:00:00Z,13.5,105.0,NaN
2026-07-15T09:00:00Z,13.5,105.5,NaN
2026-07-15T09:00:00Z,13.5,106.0,NaN
2026-07-15T09:00:00Z,14.0,97.0,29.644
2026-07-15T09:00:00Z,14.0,97.5,29.468
2026-07-15T09:00:00Z,14.0,98.0,29.479
2026-07-15T09:00:00Z,14.0,98.5,NaN
2026-07-15T09:00:00Z,14.0,99.0,NaN
2026-07-15T09:00:00Z,14.0,99.5,NaN
2026-07-15T09:00:00Z,14.0,100.0,NaN
2026-07-15T09:00:00Z,14.0,100.5,NaN
2026-07-15T09:00:00Z,14.0,101.0,NaN
2026-07-15T09:00:00Z,14.0,101.5,NaN
2026-07-15T09:00:00Z,14.0,102.0,NaN
2026-07-15T09:00:00Z,14.0,102.5,NaN
2026-07-15T09:00:00Z,14.0,103.0,NaN
2026-07-15T09:00:00Z,14.0,103.5,NaN
2026-07-15T09:00:00Z,14.0,104.0,NaN
2026-07-15T09:00:00Z,14.0,104.5,NaN
2026-07-15T09:00:00Z,14.0,105.0,NaN
2026-07-15T09:00:00Z,14.0,105.5,NaN
2026-07-15T09:00:00Z,14.0,106.0,NaN
